"ID","Player","Team","Position","RkOv","Status","Age","Opponent","Salary","Contract","FPts","FP/G","%D","ADP","Ros"
"*04q2n*","Adley Rutschman","BAL","C","70","LANG","25","LAA Thu 12:05PM","34.00","2026","452","3.01","100%","46.64","97%"
"*047l7*","Luis Robert Jr.","CHW","OF","71","JOHN","26","DET Thu 1:10PM","43.00","2026","451.5","3.23","100%","39.18","96%"
"*01sy3*","Nolan Arenado","STL","3B","72","JENKS","32","@LAD Thu 1:10PM","27.00","2025","450.5","3.06","100%","93.03","96%"
"*041qb*","Bo Bichette","TOR","SS","73","MDS","25","@TB Thu 1:10PM","52.00","2027","449","2.97","100%","48.77","95%"
"*02i2j*","Max Fried","ATL","SP","74","TONY","29","@PHI Thu 12:05PM","35.00","2026","448.5","17.25","100%","55.21","96%"
"*0512e*","Spencer Steer","CIN","1B,3B,OF","75","JOEY","26","WSH Thu 1:10PM","32.00","2026","446","2.9","100%","131.25","96%"
"*02btx*","Tyler Glasnow","LAD","SP","76","JOHN","30","STL Thu 1:10PM","30.00","2026","445.5","18.56","100%","47.97","96%"
"*025he*","George Springer","TOR","OF","77","TED","34","@TB Thu 1:10PM","27.00","2024","445","3.18","100%","100.74","96%"
"*025dn*","Christian Yelich","MIL","OF","78","ROLLS","32","@NYM Thu 10:10AM","15.00","2024","444","3.15","100%","55.42","96%"
"*03nmw*","Ian Happ","CHC","OF","79","HENRY","29","@TEX Thu 4:35PM","18.00","2025","443","2.77","100%","109.18","93%"
"*02bq2*","Brandon Nimmo","NYM","OF","80","CA$H","30","MIL Thu 10:10AM","21.00","2025","440","2.99","100%","145.69","96%"
"*04ptt*","Tarik Skubal","DET","SP","81","ALEC","27","@CHW Thu 1:10PM","23.00","2026","439.5","16.9","100%","44.53","96%"
"*02w16*","Anthony Santander","BAL","OF","82","KYLE","29","LAA Thu 12:05PM","23.00","2026","437.5","2.84","100%","119.34","96%"
"*04qk8*","CJ Abrams","WSH","SS","83","ROLLS","23","@CIN Thu 1:10PM","19.00","2028","437","2.8","100%","56.43","95%"
"*05y23*","Tanner Bibee","CLE","SP","84","TONY","24","@OAK Thu 7:07PM","19.00","2028","437","14.1","100%","108.56","95%"
"*04ug5*","Emmanuel Clase","CLE","RP","85","KYLE","25","@OAK Thu 7:07PM","26.00","2026","435","5.96","100%","110.85","96%"
"*025gb*","Xander Bogaerts","SD","SS","86","JOEY","31","SF Thu 1:10PM","38.00","2027","434.5","2.8","100%","90.98","96%"
"*05144*","Hunter Brown","HOU","SP","87","JOHN","25","NYY Thu 1:00AM","11.00","2025","433.5","14.45","100%","149.9","96%"
"*04de1*","Triston Casas","BOS","1B","88","ALEC","23","@SEA Thu 7:10PM","25.00","2029","433","2.81","100%","97.72","96%"
"*041e3*","Braxton Garrett","MIA","SP","89","FA","26","PIT Thu 1:10PM","11.00","2023","431.5","13.92","100%","189.67","95%"
"*0512v*","Michael Harris II","ATL","OF","90","HENRY","22","@PHI Thu 12:05PM","19.00","2027","431.5","3.02","100%","49.83","96%"
"*01uc9*","Nick Castellanos","PHI","OF","91","JENKS","31","ATL Thu 12:05PM","28.00","2026","431","2.76","100%","102.47","96%"
"*03m6o*","Yandy Diaz","TB","1B,3B","92","KYLE","32","TOR Thu 1:10PM","14.00","2024","431","3.19","100%","118.17","96%"
"*045kb*","Cristian Javier","HOU","SP","93","LANG","26","NYY Thu 1:00AM","17.00","2024","430","14.33","100%","162.06","96%"
"*042sz*","Will Smith","LAD","C","94","TED","28","STL Thu 1:10PM","18.00","2024","430","3.26","100%","77.76","97%"
"*02yc4*","Shohei Ohtani","LAD","UT,P","95","MDS","29","STL Thu 1:10PM","44.00","2026","429.68","3.21","100%","13.32","96%"
"*0425t*","Bailey Ober","MIN","SP","96","FA","28","@KC Thu 1:10PM","11.00","2023","429","15.32","100%","168.75","95%"
"*05udp*","Elly De La Cruz","CIN","3B,SS","97","JOHN","21","WSH Thu 1:10PM","14.00","2026","427.5","3.24","100%","26.7","96%"
"*04yk2*","Spencer Torkelson","DET","1B","98","ALEC","24","@CHW Thu 1:10PM","30.00","2027","425","2.69","100%","90.61","96%"
"*03ae8*","Dansby Swanson","CHC","SS","99","JOEY","29","@TEX Thu 4:35PM","21.00","2025","424.5","2.85","100%","106.82","96%"
"*02mzg*","Max Muncy","LAD","3B","100","NASER","33","STL Thu 1:10PM","23.00","2024","424","3.29","100%","94.5","95%"
"*02bqy*","Joe Musgrove","SD","SP","101","ROLLS","31","SF Thu 1:10PM","36.00","2027","423","15.67","100%","96.63","96%"
"*041yb*","Dean Kremer","BAL","SP","102","FA","27","LAA Thu 12:05PM","11.00","2023","420.5","13.14","100%","266.51","91%"
"*005jn*","Charlie Morton","ATL","SP","103","TONY","40","@PHI Thu 12:05PM","30.00","2027","420","14","100%","216.29","94%"
"*031t0*","Gleyber Torres","NYY","2B","104","FA","27","@HOU Thu 1:00AM","11.00","2023","419.5","2.83","100%","82.12","96%"
"*04k0w*","Camilo Doval","SF","RP","105","KYLE","26","@SD Thu 1:10PM","15.00","2027","418.5","5.73","100%","115.2","96%"
"*04071*","Isaac Paredes","TB","1B,3B","106","NASER","24","TOR Thu 1:10PM","36.00","2027","418.5","2.91","100%","168.1","96%"
"*03dei*","Lane Thomas","WSH","OF","107","HENRY","28","@CIN Thu 1:10PM","31.00","2027","417.5","2.64","100%","108.84","95%"
"*041q6*","Nolan Jones","COL","OF","108","TED","25","@ARI Thu 1:00AM","9.00","2025","416.5","2.91","100%","58.16","95%"
"*041ma*","Cole Ragans","KC","SP","109","FA","26","MIN Thu 1:10PM","11.00","2023","416","14.86","100%","95.61","95%"
"*03mew*","Luis Arraez","MIA","1B,2B","110","JOEY","26","PIT Thu 1:10PM","31.00","2027","414","2.86","100%","188.47","97%"
"*03pzn*","Andres Gimenez","CLE","2B","111","ALEC","25","@OAK Thu 7:07PM","35.00","2027","414","2.65","100%","137.78","96%"
"*05ajg*","Ha-seong Kim","SD","2B,3B,SS","112","KYLE","28","SF Thu 1:10PM","38.00","2027","414","2.59","100%","84.51","96%"
"*01usi*","Marcell Ozuna","ATL","UT","113","FA","33","@PHI Thu 12:05PM","11.00","2023","414","2.9","100%","114.85","94%"
"*04y9p*","Anthony Volpe","NYY","SS","114","KYLE","22","@HOU Thu 1:00AM","19.00","2028","411.5","2.73","100%","136.98","97%"
